Name:CatLog




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
11/29/2024, 14:51:55, -6.9028233, 39.9272, 2, 4, 3.9, 4.1, 32, 3.704, 63, 0, 0
11/29/2024, 14:57:25, -6.909215, 39.9238917, 2, 5, 4.5, 4.6, 30, 25.928, 29, 0, 0
11/29/2024, 15:02:43, -6.9032317, 39.9276483, 48, 5, 7.2, 8.1, 30, 29.632, 17, 0, 0
11/29/2024, 15:08:11, -6.9024367, 39.9274483, 20, 5, 5.1, 5.2, 30, 0, 27, 0, 0
11/29/2024, 15:13:14, -6.9030367, 39.9270917, 8, 6, 1.1, 1.4, 30, 0, 2, 0, 0
11/29/2024, 15:18:17, -6.902995, 39.9271783, 8, 6, 1.1, 1.4, 30, 0, 2, 0, 0
11/29/2024, 15:23:20, -6.9030567, 39.9271217, 0, 6, 1.1, 1.4, 30, 0, 2, 0, 0
11/29/2024, 15:28:23, -6.90303, 39.92714, -8, 5, 1.1, 1.5, 30, 0, 2, 0, 0
11/29/2024, 15:33:27, -6.9030467, 39.9271367, -10, 5, 1.6, 1.8, 30, 1.852, 2, 0, 0
11/29/2024, 15:38:30, -6.90307, 39.9270517, -8, 5, 1.6, 1.9, 30, 1.852, 2, 0, 0
11/29/2024, 15:43:33, -6.90306, 39.927235, -14, 5, 1.2, 1.5, 30, 3.704, 2, 0, 0
11/29/2024, 15:48:36, -6.902995, 39.9270967, -4, 5, 1.7, 1.9, 30, 0, 2, 0, 0
11/29/2024, 15:53:39, -6.903025, 39.9271117, -4, 5, 1.7, 1.9, 30, 0, 2, 0, 0
11/29/2024, 15:58:43, -6.903005, 39.92715, -2, 5, 1.7, 2.0, 30, 0, 3, 0, 0
11/29/2024, 16:03:46, -6.90301, 39.9271183, -8, 5, 1.8, 2.0, 30, 0, 2, 0, 0
11/29/2024, 16:08:50, -6.9030483, 39.927165, -6, 5, 1.8, 2.0, 30, 1.852, 3, 0, 0
11/29/2024, 16:13:54, -6.90297, 39.9272083, -4, 5, 1.8, 2.0, 30, 1.852, 3, 0, 0
11/29/2024, 16:18:57, -6.9028767, 39.9272267, -14, 5, 1.8, 2.0, 30, 0, 2, 0, 0
11/29/2024, 16:24:01, -6.903075, 39.9270833, -12, 5, 1.8, 2.0, 30, 0, 3, 0, 0
11/29/2024, 16:29:04, -6.9030833, 39.927075, -10, 5, 1.8, 2.0, 30, 0, 2, 0, 0
11/29/2024, 16:34:07, -6.9030317, 39.92719, -10, 5, 1.8, 2.0, 30, 0, 2, 0, 0
11/29/2024, 16:39:10, -6.903, 39.927085, -14, 5, 1.8, 2.0, 30, 0, 2, 0, 0
11/29/2024, 16:44:13, -6.902995, 39.927215, -2, 5, 1.7, 1.9, 30, 0, 2, 0, 0
11/29/2024, 16:49:18, -6.9030133, 39.92711, -16, 5, 1.7, 1.9, 30, 0, 4, 0, 0
11/29/2024, 16:54:22, -6.902965, 39.9271383, -18, 5, 1.6, 1.9, 30, 0, 3, 0, 0
11/29/2024, 16:59:26, -6.90295, 39.9271333, -18, 5, 1.6, 1.8, 30, 0, 3, 0, 0
11/29/2024, 17:04:30, -6.9029917, 39.927135, -18, 5, 1.6, 1.8, 30, 1.852, 3, 0, 0
11/29/2024, 17:09:35, -6.90298, 39.9270683, -8, 4, 1.6, 1.8, 30, 0, 4, 0, 0
11/29/2024, 17:14:38, -6.9030033, 39.9271067, -16, 4, 1.6, 1.8, 30, 0, 2, 0, 0
11/29/2024, 17:19:42, -6.902965, 39.9271333, -20, 4, 1.5, 1.8, 30, 0, 3, 0, 0
11/29/2024, 17:24:46, -6.902935, 39.92721, -14, 4, 1.5, 1.8, 30, 0, 3, 0, 0
11/29/2024, 17:29:50, -6.9029633, 39.927125, -14, 4, 1.5, 1.8, 30, 0, 3, 0, 0
11/29/2024, 17:34:52, -6.9029733, 39.927145, -14, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 17:39:56, -6.9029583, 39.927085, -22, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 17:44:58, -6.9029, 39.9271917, -6, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 17:50:02, -6.9028733, 39.9271533, -2, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 17:55:05, -6.902915, 39.9270767, -2, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 18:00:08, -6.902925, 39.92709, -16, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 18:05:11, -6.90294, 39.9271, -8, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 18:10:13, -6.9029117, 39.9271717, -8, 4, 1.5, 1.8, 30, 0, 2, 0, 0
11/29/2024, 18:15:16, -6.902935, 39.927095, -8, 4, 1.6, 1.8, 30, 0, 2, 0, 0
11/29/2024, 18:20:20, -6.90292, 39.9271017, -8, 4, 1.6, 1.9, 30, 0, 3, 0, 0
11/29/2024, 18:25:35, -6.9029183, 39.927065, -12, 4, 1.6, 1.9, 30, 0, 13, 0, 0
11/29/2024, 18:31:01, -6.90295, 39.9271217, 2, 9, 0.8, 1.2, 30, 0, 25, 0, 0
11/29/2024, 18:36:04, -6.9029583, 39.9271167, -6, 9, 0.9, 1.2, 30, 0, 2, 0, 0
11/29/2024, 18:41:07, -6.90298, 39.9271567, -14, 9, 0.9, 1.2, 30, 0, 2, 0, 0
11/29/2024, 18:46:10, -6.90292, 39.92714, -16, 9, 0.9, 1.2, 30, 0, 2, 0, 0
11/29/2024, 18:51:13, -6.9028633, 39.927235, -14, 6, 1.2, 1.5, 30, 0, 2, 0, 0
11/29/2024, 18:56:17, -6.902925, 39.92717, -14, 8, 1.0, 1.3, 30, 0, 3, 0, 0
11/29/2024, 19:01:20, -6.9029383, 39.92711, -16, 8, 1.0, 1.3, 30, 0, 2, 0, 0
11/29/2024, 19:06:25, -6.9027867, 39.9273367, -10, 6, 1.2, 1.5, 30, 0, 3, 0, 0
11/29/2024, 19:11:28, -6.9029383, 39.9271133, -6, 8, 1.0, 1.3, 30, 0, 2, 0, 0
11/29/2024, 19:16:31, -6.9029717, 39.9271417, -8, 8, 1.0, 1.3, 30, 0, 2, 0, 0
